emp no,Attrition,CF_attrition label,CF_age band,Department,Job Role,Business Travel,Over Time,Training Times Last Year,Daily Rate,Distance From Home,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
STAFF-31,Yes,Ex-Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,2,699,6,2,83,3,1,1,2960,17102,2,11,3,3,80,0,8,3,4,2,1,3
STAFF-32,No,Current Employees,45 - 54,R&D,Manager,Travel_Rarely,No,3,1282,5,3,58,3,5,3,19094,10735,4,11,3,4,80,1,26,2,14,13,4,8
STAFF-33,Yes,Ex-Employees,25 - 34,R&D,Research Scientist,Travel_Frequently,Yes,5,1125,16,2,72,1,1,1,3919,4681,1,22,4,2,80,0,10,3,10,2,6,7
STAFF-35,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,2,691,8,3,48,3,2,2,6825,21173,0,11,3,4,80,1,10,3,9,7,4,2
STAFF-36,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,No,4,477,7,1,42,2,3,4,10248,2094,3,14,3,4,80,1,24,3,22,6,5,17
STAFF-38,No,Current Employees,45 - 54,Sales,Manager,Travel_Rarely,No,2,705,2,2,83,3,5,1,18947,22822,3,12,3,4,80,0,22,2,2,2,2,1
STAFF-39,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,3,924,2,3,78,3,1,4,2496,6670,4,11,3,4,80,0,7,3,1,1,0,0
STAFF-40,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,Yes,5,1459,10,4,41,3,2,4,6465,19121,2,13,3,4,80,0,9,4,4,2,1,3
STAFF-41,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,5,125,9,4,83,2,1,3,2206,16117,1,13,3,1,80,0,10,3,10,0,1,8
STAFF-42,Yes,Ex-Employees,35 - 44,Sales,Sales Representative,Travel_Rarely,No,6,895,5,4,56,3,2,4,2086,3335,3,14,3,3,80,1,19,4,1,0,0,0
STAFF-45,Yes,Ex-Employees,Under 25,R&D,Research Scientist,Travel_Rarely,Yes,2,813,1,2,61,3,1,4,2293,3020,2,16,3,1,80,1,6,2,2,0,2,0
STAFF-46,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,No,3,1273,2,4,72,4,1,3,2645,21923,1,12,3,4,80,2,6,2,5,3,1,4
STAFF-47,Yes,Ex-Employees,45 - 54,Sales,Sales Representative,Travel_Rarely,Yes,2,869,3,1,86,2,1,3,2683,3810,1,14,3,3,80,0,3,3,3,2,0,2
STAFF-49,No,Current Employees,35 - 44,Sales,Sales Representative,Travel_Rarely,No,3,890,2,4,97,3,1,4,2014,9687,1,13,3,1,80,0,2,3,2,2,2,2
STAFF-51,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,Yes,3,852,5,2,82,2,1,1,3419,13072,9,14,3,4,80,1,6,4,1,1,0,0
STAFF-52,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Frequently,No,3,1141,1,3,42,4,2,1,5376,3193,2,19,3,1,80,2,10,3,5,3,1,3
STAFF-53,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,3,464,4,3,75,3,1,4,1951,10910,1,12,3,3,80,1,1,3,1,0,0,0
STAFF-54,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,6,1240,2,4,33,3,1,1,2341,19715,1,13,3,4,80,1,1,3,1,0,0,0
STAFF-55,Yes,Ex-Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,2,1357,25,1,48,1,1,3,2293,10558,1,12,3,3,80,0,1,2,1,0,0,1
STAFF-56,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Frequently,No,0,994,8,4,37,3,3,3,8726,2975,1,15,3,4,80,0,9,3,9,8,1,7
STAFF-57,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Frequently,No,2,721,1,3,58,3,2,4,4011,10781,1,23,4,4,80,0,12,3,12,8,3,7
STAFF-58,Yes,Ex-Employees,35 - 44,R&D,Research Director,Travel_Rarely,No,0,1360,12,2,49,3,5,3,19545,16280,1,12,3,4,80,0,23,3,22,15,15,8
STAFF-60,No,Current Employees,25 - 34,Sales,Sales Executive,Non-Travel,No,2,1065,23,2,72,3,2,3,4568,10034,0,20,4,3,80,0,10,3,9,5,8,7
STAFF-61,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,No,1,408,19,2,73,3,1,2,3022,10227,4,21,4,1,80,0,8,3,1,0,0,0
STAFF-62,No,Current Employees,45 - 54,Sales,Sales Executive,Travel_Frequently,Yes,4,1211,5,1,98,3,2,4,5772,20445,4,21,4,3,80,0,14,3,9,6,0,8
STAFF-63,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,2,1229,8,4,36,4,1,4,2269,4892,1,19,3,4,80,0,1,3,1,0,0,1
STAFF-64,Yes,Ex-Employees,45 - 54,R&D,Laboratory Technician,Travel_Rarely,Yes,2,626,1,1,98,2,3,3,5381,19294,9,13,3,4,80,0,23,3,1,0,0,0
STAFF-65,Yes,Ex-Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,Yes,3,1434,5,3,50,3,1,3,3441,11179,1,13,3,3,80,0,2,2,2,2,2,2
STAFF-68,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,Yes,2,1488,1,2,75,3,2,1,5454,4009,5,21,4,3,80,1,9,2,4,3,1,3
STAFF-70,No,Current Employees,35 - 44,R&D,Healthcare Representative,Non-Travel,Yes,3,1097,11,3,79,2,3,1,9884,8302,2,13,3,3,80,1,10,3,4,0,2,3
STAFF-72,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,Yes,2,1443,23,3,47,2,2,4,4157,21436,7,19,3,3,80,1,5,2,2,2,0,0
STAFF-73,No,Current Employees,25 - 34,R&D,Research Director,Travel_Frequently,Yes,1,515,1,1,98,3,3,4,13458,15146,1,12,3,3,80,0,15,3,15,14,8,12
STAFF-74,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Frequently,No,3,853,18,2,71,3,3,1,9069,11031,1,22,4,4,80,1,9,2,9,8,1,8
STAFF-75,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,Yes,3,1142,23,3,30,3,1,1,4014,16002,3,15,3,3,80,1,4,3,2,2,2,2
STAFF-76,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,3,655,7,4,48,3,2,4,5915,9528,3,22,4,4,80,1,10,2,7,7,1,7
STAFF-77,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,No,2,1115,1,1,51,2,2,3,5993,2689,1,18,3,3,80,1,7,4,7,5,0,7
STAFF-78,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Rarely,Yes,3,427,1,1,33,3,2,4,6162,10877,1,22,4,2,80,1,9,3,9,8,7,8
STAFF-79,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Frequently,No,2,653,29,4,50,3,2,4,2406,5456,1,11,3,4,80,0,10,3,10,3,9,9
STAFF-80,No,Current Employees,45 - 54,R&D,Research Director,Travel_Rarely,Yes,2,989,7,2,43,2,5,3,18740,16701,5,12,3,4,80,1,29,2,27,3,13,8
STAFF-81,No,Current Employees,Over 55,Sales,Sales Executive,Travel_Rarely,No,3,1435,25,1,99,3,3,1,7637,2354,7,11,3,4,80,0,28,2,21,16,7,9
STAFF-83,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,No,2,1223,8,3,59,3,3,3,10096,8202,1,13,3,2,80,3,17,3,17,14,12,8
STAFF-84,No,Current Employees,Over 55,R&D,Manager,Travel_Rarely,Yes,2,836,8,4,33,3,4,3,14756,19730,2,14,3,3,80,3,21,3,5,0,0,2
STAFF-85,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Frequently,No,3,1195,11,2,95,2,2,2,6499,22656,1,13,3,3,80,0,6,3,6,5,0,3
STAFF-86,No,Current Employees,45 - 54,R&D,Research Scientist,Travel_Rarely,No,2,1339,7,2,59,3,3,1,9724,18787,2,17,3,3,80,1,25,3,1,0,0,0
STAFF-88,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Frequently,No,2,664,1,2,79,3,1,1,2194,5868,4,13,3,4,80,1,5,2,3,2,1,2
STAFF-90,Yes,Ex-Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,Yes,0,318,9,4,79,2,1,3,3388,21777,0,17,3,1,80,1,2,2,1,0,0,0
STAFF-91,No,Current Employees,Over 55,Sales,Sales Executive,Travel_Frequently,No,2,1225,1,1,57,2,2,3,5473,24668,7,11,3,4,80,0,20,2,4,3,1,3
STAFF-94,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,3,1328,2,3,76,3,1,2,2703,4956,0,23,4,4,80,1,6,3,5,4,0,4
STAFF-95,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,4,1082,1,3,87,3,1,2,2501,18775,1,17,3,2,80,0,1,3,1,1,1,0
STAFF-96,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,3,548,1,2,66,3,2,2,6220,7346,1,17,3,2,80,2,10,3,10,4,0,9
STAFF-97,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,3,132,6,2,55,4,1,4,3038,22002,3,12,3,2,80,0,5,3,1,0,0,0
STAFF-98,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Rarely,No,2,746,8,3,61,3,2,4,4424,20682,1,23,4,4,80,0,11,3,11,7,1,8
STAFF-100,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,2,776,1,3,32,2,2,1,4312,23016,0,14,3,2,80,0,16,3,15,13,2,8
STAFF-101,No,Current Employees,45 - 54,R&D,Research Director,Travel_Rarely,Yes,3,193,6,4,52,3,3,1,13245,15067,4,14,3,2,80,0,17,4,0,0,0,0
STAFF-102,No,Current Employees,35 - 44,R&D,Research Director,Travel_Rarely,No,3,397,7,1,30,3,3,3,13664,25258,4,13,3,1,80,0,16,4,5,2,0,2
STAFF-103,No,Current Employees,45 - 54,HR,Human Resources,Travel_Rarely,Yes,2,945,5,2,80,3,2,2,5021,10425,8,22,4,4,80,1,16,3,4,2,0,2
STAFF-104,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,Yes,1,852,1,4,55,2,2,4,5126,15998,1,12,3,3,80,2,10,2,10,8,3,0
STAFF-105,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,No,3,1214,1,2,30,2,1,3,2859,26278,1,18,3,1,80,0,6,3,6,4,0,4
STAFF-106,No,Current Employees,Over 55,Sales,Sales Executive,Travel_Rarely,No,4,111,1,1,70,3,3,4,10239,18092,3,14,3,4,80,1,24,3,1,0,1,0
STAFF-107,No,Current Employees,35 - 44,R&D,Research Scientist,Non-Travel,Yes,3,573,6,2,79,1,2,4,5329,15717,7,12,3,4,80,3,17,3,13,11,1,9
STAFF-110,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Rarely,No,2,1153,1,1,94,3,2,2,4325,17736,1,15,3,3,80,0,5,3,5,2,1,3
STAFF-112,No,Current Employees,Over 55,R&D,Manufacturing Director,Travel_Rarely,No,3,1400,7,4,49,1,3,4,7260,21698,4,11,3,1,80,0,37,2,6,4,0,2
STAFF-113,No,Current Employees,Under 25,Sales,Sales Representative,Travel_Rarely,No,3,541,2,3,62,3,1,1,2322,9518,3,13,3,3,80,1,3,3,0,0,0,0
STAFF-116,No,Current Employees,45 - 54,R&D,Laboratory Technician,Travel_Rarely,No,4,432,9,4,96,3,1,4,2075,18725,3,23,4,2,80,2,10,3,4,2,0,3
STAFF-117,No,Current Employees,25 - 34,R&D,Healthcare Representative,Travel_Rarely,No,3,288,2,3,99,2,2,4,4152,15830,1,19,3,1,80,3,11,3,11,10,10,8
STAFF-118,Yes,Ex-Employees,45 - 54,Sales,Sales Executive,Travel_Rarely,No,3,669,9,3,64,2,3,4,9619,13596,1,16,3,4,80,0,9,3,9,8,4,7
STAFF-119,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Frequently,No,3,530,1,3,78,2,4,2,13503,14115,1,22,4,4,80,1,22,2,22,3,11,11
STAFF-120,No,Current Employees,45 - 54,Sales,Sales Executive,Travel_Rarely,Yes,2,632,21,3,71,3,2,4,5441,8423,0,22,4,4,80,0,11,1,10,7,1,0
STAFF-121,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,Yes,4,1334,4,3,63,2,2,2,5209,19760,1,12,3,2,80,3,11,2,11,8,2,7
STAFF-124,No,Current Employees,45 - 54,R&D,Healthcare Representative,Travel_Frequently,Yes,5,638,1,3,40,2,3,1,10673,3142,2,13,3,3,80,1,21,2,10,9,9,5
STAFF-125,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,0,1093,6,2,87,3,2,3,5010,24301,1,16,3,1,80,0,12,3,11,8,5,7
STAFF-126,No,Current Employees,45 - 54,R&D,Research Director,Travel_Rarely,No,5,1217,2,1,60,3,3,3,13549,24001,9,12,3,1,80,1,16,1,4,3,0,3
STAFF-128,No,Current Employees,Under 25,Sales,Sales Executive,Travel_Rarely,No,2,1353,3,1,33,3,2,3,4999,17519,0,21,4,1,80,1,4,2,3,2,0,2
STAFF-129,No,Current Employees,25 - 34,Sales,Sales Executive,Non-Travel,No,3,120,4,2,43,3,2,3,4221,8863,1,15,3,2,80,0,5,4,5,4,0,4
STAFF-131,No,Current Employees,Over 55,Sales,Sales Executive,Travel_Rarely,No,1,682,10,4,37,3,4,3,13872,24409,0,13,3,3,80,0,38,2,37,10,1,8
STAFF-132,No,Current Employees,35 - 44,R&D,Laboratory Technician,Non-Travel,No,3,489,23,2,67,3,2,2,2042,25043,4,12,3,3,80,1,17,4,3,2,1,2
STAFF-133,Yes,Ex-Employees,35 - 44,HR,Human Resources,Travel_Rarely,Yes,3,807,6,3,63,3,1,1,2073,23648,4,22,4,4,80,0,7,3,3,2,0,2
STAFF-134,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,2,827,1,4,71,3,1,1,2956,15178,1,13,3,4,80,0,1,3,1,0,0,0
STAFF-137,Yes,Ex-Employees,Under 25,R&D,Laboratory Technician,Travel_Frequently,Yes,5,871,6,4,66,2,1,4,2926,19783,1,18,3,2,80,0,1,3,1,0,1,0
STAFF-138,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,3,665,6,1,41,3,2,3,4809,12482,1,14,3,3,80,0,16,3,16,13,2,10
STAFF-139,No,Current Employees,35 - 44,R&D,Healthcare Representative,Non-Travel,No,2,1040,2,3,100,2,2,4,5163,15850,5,14,3,4,80,1,17,4,1,0,0,0
STAFF-140,No,Current Employees,Over 55,HR,Manager,Non-Travel,No,3,1420,2,3,32,2,5,4,18844,21922,9,21,4,4,80,1,30,3,3,2,2,2
STAFF-141,No,Current Employees,45 - 54,R&D,Research Director,Travel_Frequently,Yes,1,1115,1,1,73,3,5,2,18172,9755,3,19,3,1,80,0,28,2,8,3,0,7
STAFF-142,Yes,Ex-Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,Yes,1,240,5,3,46,2,2,3,5744,26959,1,11,3,4,80,0,6,3,6,4,0,3
STAFF-143,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,2,1280,7,4,64,2,1,4,2889,26897,1,11,3,3,80,2,2,3,2,2,2,1
STAFF-144,No,Current Employees,Under 25,R&D,Laboratory Technician,Travel_Rarely,No,5,534,15,2,59,3,1,4,2871,23785,1,15,3,3,80,0,1,3,0,0,0,0
STAFF-145,No,Current Employees,45 - 54,R&D,Healthcare Representative,Travel_Frequently,No,1,1456,1,1,30,2,3,1,7484,25796,3,20,4,3,80,0,23,2,13,12,12,8
STAFF-147,Yes,Ex-Employees,25 - 34,R&D,Laboratory Technician,Travel_Frequently,Yes,3,658,7,1,66,1,2,3,6074,22887,1,24,4,4,80,0,9,3,9,7,0,6
STAFF-148,No,Current Employees,45 - 54,HR,Manager,Non-Travel,Yes,3,142,26,4,30,4,4,4,17328,13871,2,12,3,3,80,0,23,3,5,3,4,4
STAFF-150,No,Current Employees,Under 25,R&D,Laboratory Technician,Travel_Rarely,No,2,1127,18,2,52,3,1,3,2774,13257,0,12,3,3,80,1,6,3,5,3,1,2
STAFF-151,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,3,1031,6,3,45,2,2,2,4505,15000,6,15,3,3,80,1,12,3,1,0,0,0
STAFF-152,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,3,1189,3,3,87,3,3,4,7428,14506,2,12,3,1,80,0,12,3,5,3,1,3
STAFF-153,No,Current Employees,25 - 34,R&D,Manager,Travel_Rarely,No,6,1354,5,3,45,2,3,1,11631,5615,2,12,3,4,80,0,14,3,11,10,5,8
STAFF-154,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Frequently,No,6,1467,11,2,92,3,3,4,9738,22952,0,14,3,3,80,1,10,3,9,7,2,8
STAFF-155,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,2,922,3,1,39,3,1,4,2835,2561,5,22,4,1,80,1,7,3,1,0,0,0
STAFF-158,No,Current Employees,35 - 44,Sales,Manager,Travel_Frequently,Yes,3,394,26,3,92,3,4,4,16959,19494,1,12,3,4,80,2,25,4,25,12,4,12
STAFF-159,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Frequently,No,2,1312,23,1,96,1,1,3,2613,22310,1,25,4,3,80,3,10,2,10,7,0,9
STAFF-160,No,Current Employees,25 - 34,Sales,Sales Executive,Non-Travel,No,2,750,22,3,95,3,2,2,6146,15480,0,13,3,1,80,1,8,4,7,7,0,7
STAFF-161,Yes,Ex-Employees,Over 55,R&D,Research Scientist,Travel_Rarely,Yes,2,441,14,2,72,3,1,2,4963,4510,9,18,3,1,80,3,7,3,5,4,4,3
STAFF-162,No,Current Employees,45 - 54,R&D,Research Director,Travel_Rarely,No,5,684,6,1,51,3,5,3,19537,6462,7,13,3,3,80,0,23,3,20,18,15,15
STAFF-163,Yes,Ex-Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,Yes,3,249,6,2,76,1,2,3,6172,20739,4,18,3,2,80,0,12,2,7,7,7,7
STAFF-164,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,3,841,6,3,46,2,1,2,2368,23300,1,19,3,3,80,0,5,2,5,4,4,3
STAFF-165,Yes,Ex-Employees,Over 55,R&D,Healthcare Representative,Travel_Rarely,No,3,147,23,4,94,3,3,4,10312,3465,1,12,3,4,80,1,40,2,40,10,15,6
STAFF-167,Yes,Ex-Employees,Under 25,Sales,Sales Representative,Travel_Rarely,Yes,2,528,22,4,50,3,1,3,1675,26820,1,19,3,4,80,0,0,2,0,0,0,0
STAFF-169,No,Current Employees,Under 25,R&D,Laboratory Technician,Travel_Rarely,No,2,594,2,3,100,3,1,4,2523,19299,0,14,3,3,80,1,3,3,2,1,2,1
STAFF-170,No,Current Employees,45 - 54,R&D,Manufacturing Director,Travel_Rarely,No,2,470,20,3,96,3,2,1,6567,5549,1,14,3,3,80,0,16,2,15,11,5,11
STAFF-171,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Frequently,No,2,957,28,2,72,4,1,3,4739,16090,4,12,3,4,80,0,18,3,3,2,1,2
STAFF-174,No,Current Employees,45 - 54,Sales,Sales Executive,Travel_Frequently,No,3,809,12,3,77,3,3,4,9208,6645,4,11,3,4,80,0,16,3,2,2,2,1
STAFF-175,Yes,Ex-Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,Yes,2,542,20,2,71,1,2,3,4559,24788,3,11,3,3,80,1,4,3,2,2,2,2
STAFF-176,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,Yes,2,802,9,3,96,3,3,3,8189,21196,3,13,3,3,80,1,12,3,9,7,0,7
STAFF-177,No,Current Employees,25 - 34,HR,Human Resources,Travel_Rarely,No,3,1355,25,3,61,3,1,3,2942,8916,1,23,4,4,80,1,8,3,8,7,5,7
STAFF-178,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,No,0,216,6,2,84,3,2,2,4941,2819,6,20,4,4,80,2,7,3,3,2,0,1
STAFF-179,Yes,Ex-Employees,45 - 54,R&D,Manufacturing Director,Travel_Frequently,No,2,1150,8,1,53,1,3,4,10650,25150,2,15,3,4,80,0,18,3,4,2,0,3
STAFF-182,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,1,1329,4,4,47,2,2,3,5902,14590,4,14,3,3,80,1,17,4,15,11,5,9
STAFF-183,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,3,959,28,1,41,2,2,3,8639,24835,2,18,3,4,80,0,6,3,2,2,2,2
STAFF-184,No,Current Employees,25 - 34,HR,Human Resources,Travel_Rarely,Yes,2,1240,9,3,48,3,2,4,6347,13982,0,19,3,4,80,0,12,1,11,9,4,7
STAFF-190,Yes,Ex-Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,2,1033,9,1,41,3,1,1,4200,10224,7,22,4,1,80,0,10,4,5,4,0,4
STAFF-192,No,Current Employees,45 - 54,R&D,Research Scientist,Travel_Rarely,No,2,1316,29,3,83,3,1,4,3452,9752,5,13,3,2,80,0,9,2,6,5,0,3
STAFF-193,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,Yes,2,364,3,4,32,3,2,3,4317,2302,3,20,4,2,80,0,19,3,3,2,2,2
STAFF-194,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,4,438,18,1,75,3,1,3,2632,23910,1,14,3,3,80,0,5,2,5,4,0,4
STAFF-195,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Frequently,No,2,689,9,4,35,1,2,4,4668,22812,0,17,3,4,80,3,9,4,8,7,0,7
STAFF-197,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,3,201,5,4,84,3,1,1,3204,10415,5,14,3,4,80,1,8,3,3,2,2,2
STAFF-198,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,3,1427,2,2,35,2,1,4,2720,11162,0,13,3,4,80,0,6,3,5,3,1,2
STAFF-199,No,Current Employees,35 - 44,R&D,Manager,Travel_Frequently,No,2,857,10,4,91,2,4,1,17181,12888,4,13,3,2,80,1,21,2,7,6,7,7
STAFF-200,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,No,2,933,9,3,94,3,1,1,2238,6961,2,21,4,4,80,1,7,3,5,0,1,4
